antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedentes,consecuentes
"frozenset({'Pob_Alta', 'GDP_Bajo'})",frozenset({'Mort_Alta'}),0.11456628477905073,0.10911074740861974,0.07965084560829241,0.6952380952380952,6.371857142857143,1.0,0.06715043264822142,2.9232303600654665,0.9521434178208797,0.553030303030303,0.65791269355262,0.7126190476190476,"Pob_Alta, GDP_Bajo",Mort_Alta
frozenset({'Mort_Alta'}),"frozenset({'Pob_Alta', 'GDP_Bajo'})",0.10911074740861974,0.11456628477905073,0.07965084560829241,0.73,6.371857142857143,1.0,0.06715043264822142,3.27938413044796,0.9463127783976042,0.553030303030303,0.6950646950092422,0.7126190476190476,Mort_Alta,"Pob_Alta, GDP_Bajo"
frozenset({'Mort_Alta'}),frozenset({'Pob_Alta'}),0.10911074740861974,0.15384615384615385,0.09547190398254228,0.875,5.6875,1.0,0.07868563515044694,6.769230769230769,0.9251159128685154,0.5700325732899023,0.8522727272727273,0.7477836879432624,Mort_Alta,Pob_Alta
frozenset({'Pob_Alta'}),frozenset({'Mort_Alta'}),0.15384615384615385,0.10911074740861974,0.09547190398254228,0.6205673758865248,5.6875,1.0,0.07868563515044694,2.3479511143062544,0.974025974025974,0.5700325732899023,0.5740967544396816,0.7477836879432624,Pob_Alta,Mort_Alta
"frozenset({'GDP_Bajo', 'Mort_Alta'})",frozenset({'Pob_Alta'}),0.09219858156028368,0.15384615384615385,0.07965084560829241,0.863905325443787,5.615384615384615,1.0,0.06546644844517185,6.217391304347824,0.9053938356164385,0.4786885245901639,0.8391608391608392,0.6908179109488438,"GDP_Bajo, Mort_Alta",Pob_Alta
frozenset({'Mort_Alta'}),frozenset({'GDP_Bajo'}),0.10911074740861974,0.1745771958537916,0.09219858156028368,0.845,4.840265625,1.0,0.07315033324017549,5.325308413846505,0.8905705910275131,0.4814814814814814,0.8122174487772637,0.6865625,Mort_Alta,GDP_Bajo
"frozenset({'Pob_Alta', 'Mort_Alta'})",frozenset({'GDP_Bajo'}),0.09547190398254228,0.1745771958537916,0.07965084560829241,0.8342857142857143,4.778892857142857,1.0,0.06298362832819775,4.980999680192637,0.8742088999785184,0.41833810888252143,0.7992370880936644,0.6452678571428572,"Pob_Alta, Mort_Alta",GDP_Bajo
frozenset({'Pob_Alta'}),frozenset({'GDP_Bajo'}),0.15384615384615385,0.1745771958537916,0.11456628477905073,0.7446808510638298,4.265624999999999,1.0,0.08770825464769817,3.2329059829059825,0.9047619047619048,0.5357142857142856,0.6906807666886979,0.7004654255319148,Pob_Alta,GDP_Bajo
frozenset({'GDP_Bajo'}),frozenset({'Pob_Alta'}),0.1745771958537916,0.15384615384615385,0.11456628477905073,0.6562499999999999,4.265624999999999,1.0,0.08770825464769817,2.461538461538461,0.9274856009819658,0.5357142857142856,0.5937499999999999,0.7004654255319148,GDP_Bajo,Pob_Alta
"frozenset({'Pob_Media', 'Gini_Alto'})","frozenset({'Mort_Media', 'GDP_Medio'})",0.1265684669939989,0.20349154391707583,0.0845608292416803,0.6681034482758621,3.2832000554682446,1.0,0.058805216481854015,2.3998696339121874,0.7961918961939112,0.34444444444444444,0.5833106991025035,0.541826523065545,"Pob_Media, Gini_Alto","Mort_Media, GDP_Medio"
"frozenset({'Mort_Media', 'Gini_Alto'})","frozenset({'Pob_Media', 'GDP_Medio'})",0.12111292962356793,0.24331696672122205,0.0845608292416803,0.6981981981981982,2.869500666585868,1.0,0.05509199857495292,2.5072184087744582,0.7412867183276266,0.30214424951267055,0.6011516202576044,0.5228659152425968,"Mort_Media, Gini_Alto","Pob_Media, GDP_Medio"
"frozenset({'Mort_Media', 'GDP_Medio', 'Gini_Alto'})",frozenset({'Pob_Media'}),0.10201854882705946,0.2995090016366612,0.0845608292416803,0.8288770053475937,2.7674527337015284,1.0,0.054005355534066754,4.0934942716857625,0.7112138909575512,0.2667814113597246,0.7557099305312612,0.5556042585936511,"Mort_Media, GDP_Medio, Gini_Alto",Pob_Media
"frozenset({'Pob_Media', 'GDP_Medio', 'Gini_Alto'})",frozenset({'Mort_Media'}),0.11674849972722313,0.2825968357883252,0.0845608292416803,0.7242990654205608,2.5630119438530654,1.0,0.0515680726357329,2.602106392225397,0.6904421287533125,0.26863084922010394,0.6156959596318539,0.51176343232418,"Pob_Media, GDP_Medio, Gini_Alto",Mort_Media
"frozenset({'Pob_Media', 'Gini_Alto'})",frozenset({'Mort_Media'}),0.1265684669939989,0.2825968357883252,0.09165302782324058,0.7241379310344828,2.5624417520969245,1.0,0.055885179540157426,2.6005864702673214,0.6981053508224028,0.2886597938144329,0.6154713517765832,0.5242311276794035,"Pob_Media, Gini_Alto",Mort_Media
"frozenset({'Mort_Media', 'Gini_Alto'})",frozenset({'Pob_Media'}),0.12111292962356793,0.2995090016366612,0.09165302782324058,0.7567567567567567,2.5266578053463298,1.0,0.055378615186394545,2.8797963266048363,0.6874833732375631,0.2786069651741293,0.6527532205102298,0.5313838428592527,"Mort_Media, Gini_Alto",Pob_Media
"frozenset({'GDP_Medio', 'Gini_Alto'})",frozenset({'Pob_Media'}),0.16312056737588654,0.2995090016366612,0.11674849972722313,0.7157190635451505,2.3896412449512945,1.0,0.06789242144606562,2.4640801001251558,0.6948756534135909,0.3375394321766561,0.5941690369768386,0.5527593496232127,"GDP_Medio, Gini_Alto",Pob_Media
"frozenset({'Mort_Media', 'GDP_Medio'})",frozenset({'Pob_Media'}),0.20349154391707583,0.2995090016366612,0.14457174031642117,0.7104557640750669,2.3720681521850593,1.0,0.08362419115631499,2.4192883554585674,0.7262031532695787,0.4033485540334855,0.5866553080604344,0.5965757873198649,"Mort_Media, GDP_Medio",Pob_Media
